05AD,0596,֭,֖,HEBREW ACCENT DEHI,BREW ACCENT TIPEHA
2E30,00B0,⸰,°,RING POINT,GREE SIGN
02DA,00B0,˚,°,RING ABOVE,GREE SIGN
2218,00B0,∘,°,RING OPERATOR,GREE SIGN
25CB,00B0,○,°,WHITE CIRCLE,GREE SIGN
25E6,00B0,◦,°,WHITE BULLET,GREE SIGN
235C,00B0 0332,⍜,°̲,APL FUNCTIONAL SYMBOL CIRCLE UNDERBAR,GREE SIGN, COMBINING LOW LINE
2364,00B0 0308,⍤,°̈,APL FUNCTIONAL SYMBOL JOT DIAERESIS,GREE SIGN, COMBINING DIAERESIS
2103,00B0 0043,℃,°C,DEGREE CELSIUS,GREE SIGN, LATIN CAPITAL LETTER C
2109,00B0 0046,℉,°F,DEGREE FAHRENHEIT,GREE SIGN, LATIN CAPITAL LETTER F
0BF5,0BF3,௵,௳,TAMIL YEAR SIGN,MIL DAY SIGN
0F1B,0F1A 0F1A,༛,༚༚,TIBETAN SIGN RDEL DKAR GNYIS,BETAN SIGN RDEL DKAR GCIG, TIBETAN SIGN RDEL DKAR GCIG
0F1F,0F1A 0F1D,༟,༚༝,TIBETAN SIGN RDEL DKAR RDEL NAG,BETAN SIGN RDEL DKAR GCIG, TIBETAN SIGN RDEL NAG GCIG
0FCE,0F1D 0F1A,࿎,༝༚,TIBETAN SIGN RDEL NAG RDEL DKAR,BETAN SIGN RDEL NAG GCIG, TIBETAN SIGN RDEL DKAR GCIG
0F1E,0F1D 0F1D,༞,༝༝,TIBETAN SIGN RDEL NAG GNYIS,BETAN SIGN RDEL NAG GCIG, TIBETAN SIGN RDEL NAG GCIG
24B8,00A9,Ⓒ,©,CIRCLED LATIN CAPITAL LETTER C,PYRIGHT SIGN
24C7,00AE,Ⓡ,®,CIRCLED LATIN CAPITAL LETTER R,GISTERED SIGN
24C5,2117,Ⓟ,℗,CIRCLED LATIN CAPITAL LETTER P,UND RECORDING COPYRIGHT
1D21B,2144,𝈛,⅄,GREEK VOCAL NOTATION SYMBOL-53,RNED SANS-SERIF CAPITAL Y
2BEC,219E,⯬,↞,LEFTWARDS TWO-HEADED ARROW WITH TRIANGLE ARROWHEADS,FTWARDS TWO HEADED ARROW
2BED,219F,⯭,↟,UPWARDS TWO-HEADED ARROW WITH TRIANGLE ARROWHEADS,WARDS TWO HEADED ARROW
2BEE,21A0,⯮,↠,RIGHTWARDS TWO-HEADED ARROW WITH TRIANGLE ARROWHEADS,GHTWARDS TWO HEADED ARROW
2BEF,21A1,⯯,↡,DOWNWARDS TWO-HEADED ARROW WITH TRIANGLE ARROWHEADS,WNWARDS TWO HEADED ARROW
21B5,21B2,↵,↲,DOWNWARDS ARROW WITH CORNER LEFTWARDS,WNWARDS ARROW WITH TIP LEFTWARDS
2965,21C3 21C2,⥥,⇃⇂,DOWNWARDS HARPOON WITH BARB LEFT BESIDE DOWNWARDS HARPOON WITH BARB RIGHT,WNWARDS HARPOON WITH BARB LEFTWARDS, DOWNWARDS HARPOON WITH BARB RIGHTWARDS
296F,21C3 16DA,⥯,⇃ᛚ,DOWNWARDS HARPOON WITH BARB LEFT BESIDE UPWARDS HARPOON WITH BARB RIGHT,WNWARDS HARPOON WITH BARB LEFTWARDS, RUNIC LETTER LAUKAZ LAGU LOGR L
1D6DB,2202,𝛛,∂,MATHEMATICAL BOLD PARTIAL DIFFERENTIAL,RTIAL DIFFERENTIAL
1D715,2202,𝜕,∂,MATHEMATICAL ITALIC PARTIAL DIFFERENTIAL,RTIAL DIFFERENTIAL
1D74F,2202,𝝏,∂,MATHEMATICAL BOLD ITALIC PARTIAL DIFFERENTIAL,RTIAL DIFFERENTIAL
1D789,2202,𝞉,∂,MATHEMATICAL SANS-SERIF BOLD PARTIAL DIFFERENTIAL,RTIAL DIFFERENTIAL
1D7C3,2202,𝟃,∂,MATHEMATICAL SANS-SERIF BOLD ITALIC PARTIAL DIFFERENTIAL,RTIAL DIFFERENTIAL
1E8CC,2202,‎𞣌‎,∂,MENDE KIKAKUI DIGIT SIX,RTIAL DIFFERENTIAL
1E8CD,2202 0335,‎𞣍‎,∂̵,MENDE KIKAKUI DIGIT SEVEN,RTIAL DIFFERENTIAL, COMBINING SHORT STROKE OVERLAY
00F0,2202 0335,ð,∂̵,LATIN SMALL LETTER ETH,RTIAL DIFFERENTIAL, COMBINING SHORT STROKE OVERLAY
2300,2205,⌀,∅,DIAMETER SIGN,PTY SET
1D6C1,2207,𝛁,∇,MATHEMATICAL BOLD NABLA,BLA
1D6FB,2207,𝛻,∇,MATHEMATICAL ITALIC NABLA,BLA
1D735,2207,𝜵,∇,MATHEMATICAL BOLD ITALIC NABLA,BLA
1D76F,2207,𝝯,∇,MATHEMATICAL SANS-SERIF BOLD NABLA,BLA
1D7A9,2207,𝞩,∇,MATHEMATICAL SANS-SERIF BOLD ITALIC NABLA,BLA
118A8,2207,𑢨,∇,WARANG CITI CAPITAL LETTER E,BLA
2362,2207 0308,⍢,∇̈,APL FUNCTIONAL SYMBOL DEL DIAERESIS,BLA, COMBINING DIAERESIS
236B,2207 0334,⍫,∇̴,APL FUNCTIONAL SYMBOL DEL TILDE,BLA, COMBINING TILDE OVERLAY
2588,220E,█,∎,FULL BLOCK,D OF PROOF
25A0,220E,■,∎,BLACK SQUARE,D OF PROOF
2A3F,2210,⨿,∐,AMALGAMATION OR COPRODUCT,ARY COPRODUCT
16ED,002B,᛭,+,RUNIC CROSS PUNCTUATION,US SIGN
2795,002B,➕,+,HEAVY PLUS SIGN,US SIGN
1029B,002B,𐊛,+,LYCIAN LETTER H,US SIGN
2A23,002B 0302,⨣,+̂,PLUS SIGN WITH CIRCUMFLEX ACCENT ABOVE,US SIGN, COMBINING CIRCUMFLEX ACCENT
2A22,002B 030A,⨢,+̊,PLUS SIGN WITH SMALL CIRCLE ABOVE,US SIGN, COMBINING RING ABOVE
2A24,002B 0303,⨤,+̃,PLUS SIGN WITH TILDE ABOVE,US SIGN, COMBINING TILDE
2214,002B 0307,∔,+̇,DOT PLUS,US SIGN, COMBINING DOT ABOVE
2A25,002B 0323,⨥,+̣,PLUS SIGN WITH DOT BELOW,US SIGN, COMBINING DOT BELOW
2A26,002B 0330,⨦,+̰,PLUS SIGN WITH TILDE BELOW,US SIGN, COMBINING TILDE BELOW
2A27,002B 2082,⨧,+₂,PLUS SIGN WITH SUBSCRIPT TWO,US SIGN, SUBSCRIPT TWO
2797,00F7,➗,÷,HEAVY DIVISION SIGN,VISION SIGN
2039,003C,‹,<,SINGLE LEFT-POINTING ANGLE QUOTATION MARK,SS-THAN SIGN
276E,003C,❮,<,HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT,SS-THAN SIGN
02C2,003C,˂,<,MODIFIER LETTER LEFT ARROWHEAD,SS-THAN SIGN
1D236,003C,𝈶,<,GREEK INSTRUMENTAL NOTATION SYMBOL-40,SS-THAN SIGN
1438,003C,ᐸ,<,CANADIAN SYLLABICS PA,SS-THAN SIGN
16B2,003C,ᚲ,<,RUNIC LETTER KAUNA,SS-THAN SIGN
22D6,003C 00B7,⋖,<·,LESS-THAN WITH DOT,SS-THAN SIGN, MIDDLE DOT
2CB4,003C 00B7,Ⲵ,<·,COPTIC CAPITAL LETTER OLD COPTIC AIN,SS-THAN SIGN, MIDDLE DOT
1445,003C 00B7,ᑅ,<·,CANADIAN SYLLABICS WEST-CREE PWA,SS-THAN SIGN, MIDDLE DOT
226A,003C 003C,≪,<<,MUCH LESS-THAN,SS-THAN SIGN, LESS-THAN SIGN
22D8,003C 003C 003C,⋘,<<<,VERY MUCH LESS-THAN,SS-THAN SIGN, LESS-THAN SIGN, LESS-THAN SIGN
1400,003D,᐀,=,CANADIAN SYLLABICS HYPHEN,UALS SIGN
2E40,003D,⹀,=,DOUBLE HYPHEN,UALS SIGN
30A0,003D,゠,=,KATAKANA-HIRAGANA DOUBLE HYPHEN,UALS SIGN
A4FF,003D,꓿,=,LISU PUNCTUATION FULL STOP,UALS SIGN
225A,003D 0306,≚,=̆,EQUIANGULAR TO,UALS SIGN, COMBINING BREVE
2259,003D 0302,≙,=̂,ESTIMATES,UALS SIGN, COMBINING CIRCUMFLEX ACCENT
2257,003D 030A,≗,=̊,RING EQUAL TO,UALS SIGN, COMBINING RING ABOVE
2250,003D 0307,≐,=̇,APPROACHES THE LIMIT,UALS SIGN, COMBINING DOT ABOVE
2251,003D 0307 0323,≑,=̣̇,GEOMETRICALLY EQUAL TO,UALS SIGN, COMBINING DOT ABOVE, COMBINING DOT BELOW
2A6E,003D 20F0,⩮,=⃰,EQUALS WITH ASTERISK,UALS SIGN, COMBINING ASTERISK ABOVE
2A75,003D 003D,⩵,==,TWO CONSECUTIVE EQUALS SIGNS,UALS SIGN, EQUALS SIGN
2A76,003D 003D 003D,⩶,===,THREE CONSECUTIVE EQUALS SIGNS,UALS SIGN, EQUALS SIGN, EQUALS SIGN
225E,003D 036B,≞,=ͫ,MEASURED BY,UALS SIGN, COMBINING LATIN SMALL LETTER M
203A,003E,›,>,SINGLE RIGHT-POINTING ANGLE QUOTATION MARK,EATER-THAN SIGN
276F,003E,❯,>,HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT,EATER-THAN SIGN
02C3,003E,˃,>,MODIFIER LETTER RIGHT ARROWHEAD,EATER-THAN SIGN
1D237,003E,𝈷,>,GREEK INSTRUMENTAL NOTATION SYMBOL-42,EATER-THAN SIGN
1433,003E,ᐳ,>,CANADIAN SYLLABICS PO,EATER-THAN SIGN
16F3F,003E,𖼿,>,MIAO LETTER ARCHAIC ZZA,EATER-THAN SIGN
1441,003E 00B7,ᑁ,>·,CANADIAN SYLLABICS WEST-CREE PWO,EATER-THAN SIGN, MIDDLE DOT
2AA5,003E 003C,⪥,><,GREATER-THAN BESIDE LESS-THAN,EATER-THAN SIGN, LESS-THAN SIGN
226B,003E 003E,≫,>>,MUCH GREATER-THAN,EATER-THAN SIGN, GREATER-THAN SIGN
2A20,003E 003E,⨠,>>,Z NOTATION SCHEMA PIPING,EATER-THAN SIGN, GREATER-THAN SIGN
22D9,003E 003E 003E,⋙,>>>,VERY MUCH GREATER-THAN,EATER-THAN SIGN, GREATER-THAN SIGN, GREATER-THAN SIGN
2053,007E,⁓,~,SWUNG DASH,LDE
02DC,007E,˜,~,SMALL TILDE,LDE
1FC0,007E,῀,~,GREEK PERISPOMENI,LDE
223C,007E,∼,~,TILDE OPERATOR,LDE
2368,007E 0308,⍨,~̈,APL FUNCTIONAL SYMBOL TILDE DIAERESIS,LDE, COMBINING DIAERESIS
2E1E,007E 0307,⸞,~̇,TILDE WITH DOT ABOVE,LDE, COMBINING DOT ABOVE
2A6A,007E 0307,⩪,~̇,TILDE OPERATOR WITH DOT ABOVE,LDE, COMBINING DOT ABOVE
2E1F,007E 0323,⸟,~̣,TILDE WITH DOT BELOW,LDE, COMBINING DOT BELOW
1E8C8,2220,‎𞣈‎,∠,MENDE KIKAKUI DIGIT TWO,GLE
22C0,2227,⋀,∧,N-ARY LOGICAL AND,GICAL AND
222F,222E 222E,∯,∮∮,SURFACE INTEGRAL,NTOUR INTEGRAL, CONTOUR INTEGRAL
2230,222E 222E 222E,∰,∮∮∮,VOLUME INTEGRAL,NTOUR INTEGRAL, CONTOUR INTEGRAL, CONTOUR INTEGRAL
2E2B,2234,⸫,∴,ONE DOT OVER TWO DOTS PUNCTUATION,EREFORE
2E2A,2235,⸪,∵,TWO DOTS OVER ONE DOT PUNCTUATION,CAUSE
2E2C,2237,⸬,∷,SQUARED FOUR DOT PUNCTUATION,OPORTION
111DE,2248,𑇞,≈,SHARADA SECTION MARK-1,MOST EQUAL TO
264E,224F,♎,≏,LIBRA,FFERENCE BETWEEN
1F75E,224F,🝞,≏,ALCHEMICAL SYMBOL FOR SUBLIMATION,FFERENCE BETWEEN
2263,2261,≣,≡,STRICTLY EQUIVALENT TO,ENTICAL TO
2A03,228D,⨃,⊍,N-ARY UNION OPERATOR WITH DOT,LTISET MULTIPLICATION
2A04,228E,⨄,⊎,N-ARY UNION OPERATOR WITH PLUS,LTISET UNION
1D238,228F,𝈸,⊏,GREEK INSTRUMENTAL NOTATION SYMBOL-43,UARE IMAGE OF
1D239,2290,𝈹,⊐,GREEK INSTRUMENTAL NOTATION SYMBOL-45,UARE ORIGINAL OF
2A05,2293,⨅,⊓,N-ARY SQUARE INTERSECTION OPERATOR,UARE CAP
2A06,2294,⨆,⊔,N-ARY SQUARE UNION OPERATOR,UARE CUP
2A02,2297,⨂,⊗,N-ARY CIRCLED TIMES OPERATOR,RCLED TIMES
235F,229B,⍟,⊛,APL FUNCTIONAL SYMBOL CIRCLE STAR,RCLED ASTERISK OPERATOR
1F771,22A0,🝱,⊠,ALCHEMICAL SYMBOL FOR MONTH,UARED TIMES
1F755,22A1,🝕,⊡,ALCHEMICAL SYMBOL FOR URINE,UARED DOT OPERATOR
25C1,22B2,◁,⊲,WHITE LEFT-POINTING TRIANGLE,RMAL SUBGROUP OF
25B7,22B3,▷,⊳,WHITE RIGHT-POINTING TRIANGLE,NTAINS AS NORMAL SUBGROUP
2363,22C6 0308,⍣,⋆̈,APL FUNCTIONAL SYMBOL STAR DIAERESIS,AR OPERATOR, COMBINING DIAERESIS
FE34,2307,︴,⌇,PRESENTATION FORM FOR VERTICAL WAVY LOW LINE,VY LINE
25E0,2312,◠,⌒,UPPER HALF CIRCLE,C
2A3D,2319,⨽,⌙,RIGHTHAND INTERIOR PRODUCT,RNED NOT SIGN
2325,2324,⌥,⌤,OPTION KEY,ARROWHEAD BETWEEN TWO HORIZONTAL BARS
29C7,233B,⧇,⌻,SQUARED SMALL CIRCLE,L FUNCTIONAL SYMBOL QUAD JOT
25CE,233E,◎,⌾,BULLSEYE,L FUNCTIONAL SYMBOL CIRCLE JOT
29BE,233E,⦾,⌾,CIRCLED WHITE BULLET,L FUNCTIONAL SYMBOL CIRCLE JOT
29C5,2342,⧅,⍂,SQUARED FALLING DIAGONAL SLASH,L FUNCTIONAL SYMBOL QUAD BACKSLASH
29B0,2349,⦰,⍉,REVERSED EMPTY SET,L FUNCTIONAL SYMBOL CIRCLE BACKSLASH
23C3,234B,⏃,⍋,DENTISTRY SYMBOL LIGHT VERTICAL WITH TRIANGLE,L FUNCTIONAL SYMBOL DELTA STILE
23C2,234E,⏂,⍎,DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL WITH CIRCLE,L FUNCTIONAL SYMBOL DOWN TACK JOT
23C1,2355,⏁,⍕,DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL WITH CIRCLE,L FUNCTIONAL SYMBOL UP TACK JOT
23C6,236D,⏆,⍭,DENTISTRY SYMBOL LIGHT VERTICAL AND WAVE,L FUNCTIONAL SYMBOL STILE TILDE
2638,2388,☸,⎈,WHEEL OF DHARMA,LM SYMBOL
FE35,23DC,︵,⏜,PRESENTATION FORM FOR VERTICAL LEFT PARENTHESIS,P PARENTHESIS
FE36,23DD,︶,⏝,PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS,TTOM PARENTHESIS
FE37,23DE,︷,⏞,PRESENTATION FORM FOR VERTICAL LEFT CURLY BRACKET,P CURLY BRACKET
FE38,23DF,︸,⏟,PRESENTATION FORM FOR VERTICAL RIGHT CURLY BRACKET,TTOM CURLY BRACKET
FE39,23E0,︹,⏠,PRESENTATION FORM FOR VERTICAL LEFT TORTOISE SHELL BRACKET,P TORTOISE SHELL BRACKET
FE3A,23E1,︺,⏡,PRESENTATION FORM FOR VERTICAL RIGHT TORTOISE SHELL BRACKET,TTOM TORTOISE SHELL BRACKET
25B1,23E5,▱,⏥,WHITE PARALLELOGRAM,ATNESS
23FC,23FB,⏼,⏻,POWER ON-OFF SYMBOL,WER SYMBOL
FE31,2502,︱,│,PRESENTATION FORM FOR VERTICAL EM DASH,X DRAWINGS LIGHT VERTICAL
FF5C,2502,｜,│,FULLWIDTH VERTICAL LINE,X DRAWINGS LIGHT VERTICAL
2503,2502,┃,│,BOX DRAWINGS HEAVY VERTICAL,X DRAWINGS LIGHT VERTICAL
250F,250C,┏,┌,BOX DRAWINGS HEAVY DOWN AND RIGHT,X DRAWINGS LIGHT DOWN AND RIGHT
2523,251C,┣,├,BOX DRAWINGS HEAVY VERTICAL AND RIGHT,X DRAWINGS LIGHT VERTICAL AND RIGHT
2590,258C,▐,▌,RIGHT HALF BLOCK,FT HALF BLOCK
2597,2596,▗,▖,QUADRANT LOWER RIGHT,ADRANT LOWER LEFT
259D,2598,▝,▘,QUADRANT UPPER RIGHT,ADRANT UPPER LEFT
2610,25A1,☐,□,BALLOT BOX,ITE SQUARE
FFED,25AA,￭,▪,HALFWIDTH BLACK SQUARE,ACK SMALL SQUARE
25B8,25B6,▸,▶,BLACK RIGHT-POINTING SMALL TRIANGLE,ACK RIGHT-POINTING TRIANGLE
25BA,25B6,►,▶,BLACK RIGHT-POINTING POINTER,ACK RIGHT-POINTING TRIANGLE
2CE9,2627,⳩,☧,COPTIC SYMBOL KHI RO,I RHO
1F70A,2629,🜊,☩,ALCHEMICAL SYMBOL FOR VINEGAR,OSS OF JERUSALEM
1F312,263D,🌒,☽,WAXING CRESCENT MOON SYMBOL,RST QUARTER MOON
1F319,263D,🌙,☽,CRESCENT MOON,RST QUARTER MOON
23FE,263E,⏾,☾,POWER SLEEP SYMBOL,ST QUARTER MOON
1F318,263E,🌘,☾,WANING CRESCENT MOON SYMBOL,ST QUARTER MOON
29D9,299A,⧙,⦚,RIGHT WIGGLY FENCE,RTICAL ZIGZAG LINE
1F73A,29DF,🜺,⧟,ALCHEMICAL SYMBOL FOR ARSENIC,UBLE-ENDED MULTIMAP
2A3E,2A1F,⨾,⨟,Z NOTATION RELATIONAL COMPOSITION,NOTATION SCHEMA COMPOSITION
101A0,2CE8,𐆠,⳨,GREEK SYMBOL TAU RHO,PTIC SYMBOL TAU RO
2669,1D158 1D165,♩,𝅘𝅥,QUARTER NOTE,SICAL SYMBOL NOTEHEAD BLACK, MUSICAL SYMBOL COMBINING STEM
266A,1D158 1D165 1D16E,♪,𝅘𝅥𝅮,EIGHTH NOTE,SICAL SYMBOL NOTEHEAD BLACK, MUSICAL SYMBOL COMBINING STEM, MUSICAL SYMBOL COMBINING FLAG-1
24EA,1F10D,⓪,🄍,CIRCLED DIGIT ZERO,RCLED ZERO WITH SLASH
21BA,1F10E,↺,🄎,ANTICLOCKWISE OPEN CIRCLE ARROW,RCLED ANTICLOCKWISE ARROW
02D9,0971,˙,ॱ,DOT ABOVE,VANAGARI SIGN HIGH SPACING DOT
0D4E,0971,ൎ,ॱ,MALAYALAM LETTER DOT REPH,VANAGARI SIGN HIGH SPACING DOT
FF0D,30FC,－,ー,FULLWIDTH HYPHEN-MINUS,TAKANA-HIRAGANA PROLONGED SOUND MARK
2014,30FC,—,ー,EM DASH,TAKANA-HIRAGANA PROLONGED SOUND MARK
2015,30FC,―,ー,HORIZONTAL BAR,TAKANA-HIRAGANA PROLONGED SOUND MARK
2500,30FC,─,ー,BOX DRAWINGS LIGHT HORIZONTAL,TAKANA-HIRAGANA PROLONGED SOUND MARK
2501,30FC,━,ー,BOX DRAWINGS HEAVY HORIZONTAL,TAKANA-HIRAGANA PROLONGED SOUND MARK
31D0,30FC,㇐,ー,CJK STROKE H,TAKANA-HIRAGANA PROLONGED SOUND MARK
A7F7,30FC,ꟷ,ー,LATIN EPIGRAPHIC LETTER SIDEWAYS I,TAKANA-HIRAGANA PROLONGED SOUND MARK
1173,30FC,ᅳ,ー,HANGUL JUNGSEONG EU,TAKANA-HIRAGANA PROLONGED SOUND MARK
3161,30FC,ㅡ,ー,HANGUL LETTER EU,TAKANA-HIRAGANA PROLONGED SOUND MARK
4E00,30FC,一,ー,CJK UNIFIED IDEOGRAPH-4E00,TAKANA-HIRAGANA PROLONGED SOUND MARK
2F00,30FC,⼀,ー,KANGXI RADICAL ONE,TAKANA-HIRAGANA PROLONGED SOUND MARK
1196,30FC 30FC,ᆖ,ーー,HANGUL JUNGSEONG EU-EU,TAKANA-HIRAGANA PROLONGED SOUND MARK, KATAKANA-HIRAGANA PROLONGED SOUND MARK
D7B9,30FC 1161,ힹ,ーᅡ,HANGUL JUNGSEONG EU-A,TAKANA-HIRAGANA PROLONGED SOUND MARK, HANGUL JUNGSEONG A
D7BA,30FC 1165,ힺ,ーᅥ,HANGUL JUNGSEONG EU-EO,TAKANA-HIRAGANA PROLONGED SOUND MARK, HANGUL JUNGSEONG EO
D7BB,30FC 1165 4E28,ힻ,ーᅥ丨,HANGUL JUNGSEONG EU-E,TAKANA-HIRAGANA PROLONGED SOUND MARK, HANGUL JUNGSEONG EO, CJK UNIFIED IDEOGRAPH-4E28
D7BC,30FC 1169,ힼ,ーᅩ,HANGUL JUNGSEONG EU-O,TAKANA-HIRAGANA PROLONGED SOUND MARK, HANGUL JUNGSEONG O
1195,30FC 116E,ᆕ,ーᅮ,HANGUL JUNGSEONG EU-U,TAKANA-HIRAGANA PROLONGED SOUND MARK, HANGUL JUNGSEONG U
1174,30FC 4E28,ᅴ,ー丨,HANGUL JUNGSEONG YI,TAKANA-HIRAGANA PROLONGED SOUND MARK, CJK UNIFIED IDEOGRAPH-4E28
3162,30FC 4E28,ㅢ,ー丨,HANGUL LETTER YI,TAKANA-HIRAGANA PROLONGED SOUND MARK, CJK UNIFIED IDEOGRAPH-4E28
1197,30FC 4E28 116E,ᆗ,ー丨ᅮ,HANGUL JUNGSEONG YI-U,TAKANA-HIRAGANA PROLONGED SOUND MARK, CJK UNIFIED IDEOGRAPH-4E28, HANGUL JUNGSEONG U
1F10F,0024 20E0,🄏,$⃠,CIRCLED DOLLAR SIGN WITH OVERLAID BACKSLASH,LLAR SIGN, COMBINING ENCLOSING CIRCLE BACKSLASH
20A4,00A3,₤,£,LIRA SIGN,UND SIGN
3012,20B8,〒,₸,POSTAL MARK,NGE SIGN
3036,20B8,〶,₸,CIRCLED POSTAL MARK,NGE SIGN
1B5C,1B50,᭜,᭐,BALINESE WINDU,LINESE DIGIT ZERO
A9C6,A9D0,꧆,꧐,JAVANESE PADA WINDU,VANESE DIGIT ZERO
114D1,09E7,𑓑,১,TIRHUTA DIGIT ONE,NGALI DIGIT ONE
0CE7,0C67,೧,౧,KANNADA DIGIT ONE,LUGU DIGIT ONE
1065,1041,ၥ,၁,MYANMAR LETTER WESTERN PWO KAREN THA,ANMAR DIGIT ONE
2460,2780,①,➀,CIRCLED DIGIT ONE,NGBAT CIRCLED SANS-SERIF DIGIT ONE
2469,2789,⑩,➉,CIRCLED NUMBER TEN,NGBAT CIRCLED SANS-SERIF NUMBER TEN
23E8,2081 2080,⏨,₁₀,DECIMAL EXPONENT SYMBOL,BSCRIPT ONE, SUBSCRIPT ZERO
1D7D0,0032,𝟐,2,MATHEMATICAL BOLD DIGIT TWO,GIT TWO
1D7DA,0032,𝟚,2,MATHEMATICAL DOUBLE-STRUCK DIGIT TWO,GIT TWO
1D7E4,0032,𝟤,2,MATHEMATICAL SANS-SERIF DIGIT TWO,GIT TWO
1D7EE,0032,𝟮,2,MATHEMATICAL SANS-SERIF BOLD DIGIT TWO,GIT TWO
1D7F8,0032,𝟸,2,MATHEMATICAL MONOSPACE DIGIT TWO,GIT TWO
1FBF2,0032,🯲,2,SEGMENTED DIGIT TWO,GIT TWO
A75A,0032,Ꝛ,2,LATIN CAPITAL LETTER R ROTUNDA,GIT TWO
01A7,0032,Ƨ,2,LATIN CAPITAL LETTER TONE TWO,GIT TWO
03E8,0032,Ϩ,2,COPTIC CAPITAL LETTER HORI,GIT TWO
A644,0032,Ꙅ,2,CYRILLIC CAPITAL LETTER REVERSED DZE,GIT TWO
14BF,0032,ᒿ,2,CANADIAN SYLLABICS SAYISI M,GIT TWO
A6EF,0032,ꛯ,2,BAMUM LETTER KOGHOM,GIT TWO
A9CF,0662,ꧏ,‎٢‎,JAVANESE PANGRANGKEP,ABIC-INDIC DIGIT TWO
06F2,0662,۲,‎٢‎,EXTENDED ARABIC-INDIC DIGIT TWO,ABIC-INDIC DIGIT TWO
0AE8,0968,૨,२,GUJARATI DIGIT TWO,VANAGARI DIGIT TWO
114D2,09E8,𑓒,২,TIRHUTA DIGIT TWO,NGALI DIGIT TWO
0CE8,0C68,೨,౨,KANNADA DIGIT TWO,LUGU DIGIT TWO
2461,2781,②,➁,CIRCLED DIGIT TWO,NGBAT CIRCLED SANS-SERIF DIGIT TWO
01BB,0032 0335,ƻ,2̵,LATIN LETTER TWO WITH STROKE,GIT TWO, COMBINING SHORT STROKE OVERLAY
1F103,0032 002C,🄃,2,,DIGIT TWO COMMA,GIT TWO, COMMA
2489,0032 002E,⒉,2.,DIGIT TWO FULL STOP,GIT TWO, FULL STOP
33F5,0032 0032 65E5,㏵,22日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-TWO,GIT TWO, DIGIT TWO, CJK UNIFIED IDEOGRAPH-65E5
336E,0032 0032 70B9,㍮,22点,IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-TWO,GIT TWO, DIGIT TWO, CJK UNIFIED IDEOGRAPH-70B9
33F6,0032 0033 65E5,㏶,23日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-THREE,GIT TWO, DIGIT THREE, CJK UNIFIED IDEOGRAPH-65E5
336F,0032 0033 70B9,㍯,23点,IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-THREE,GIT TWO, DIGIT THREE, CJK UNIFIED IDEOGRAPH-70B9
33F7,0032 0034 65E5,㏷,24日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FOUR,GIT TWO, DIGIT FOUR, CJK UNIFIED IDEOGRAPH-65E5
3370,0032 0034 70B9,㍰,24点,IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-FOUR,GIT TWO, DIGIT FOUR, CJK UNIFIED IDEOGRAPH-70B9
33F8,0032 0035 65E5,㏸,25日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FIVE,GIT TWO, DIGIT FIVE, CJK UNIFIED IDEOGRAPH-65E5
33F9,0032 0036 65E5,㏹,26日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SIX,GIT TWO, DIGIT SIX, CJK UNIFIED IDEOGRAPH-65E5
33FA,0032 0037 65E5,㏺,27日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SEVEN,GIT TWO, DIGIT SEVEN, CJK UNIFIED IDEOGRAPH-65E5
33FB,0032 0038 65E5,㏻,28日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-EIGHT,GIT TWO, DIGIT EIGHT, CJK UNIFIED IDEOGRAPH-65E5
33FC,0032 0039 65E5,㏼,29日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-NINE,GIT TWO, DIGIT NINE, CJK UNIFIED IDEOGRAPH-65E5
33F4,0032 006C 65E5,㏴,2l日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-ONE,GIT TWO, LATIN SMALL LETTER L, CJK UNIFIED IDEOGRAPH-65E5
336D,0032 006C 70B9,㍭,2l点,IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-ONE,GIT TWO, LATIN SMALL LETTER L, CJK UNIFIED IDEOGRAPH-70B9
249B,0032 004F 002E,⒛,2O.,NUMBER TWENTY FULL STOP,GIT TWO, LATIN CAPITAL LETTER O, FULL STOP
33F3,0032 004F 65E5,㏳,2O日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY,GIT TWO, LATIN CAPITAL LETTER O, CJK UNIFIED IDEOGRAPH-65E5
